product_name,category_name,region_name,platform_name,quantity,unit_price,sale_date
Смартфон Galaxy S24,Электроника,Москва,Wildberries,2,45000,2025-01-15
Ноутбук MacBook Pro,Электроника,Санкт-Петербург,Ozon,1,120000,2025-01-16
Кроссовки Nike Air,Одежда и обувь,Екатеринбург,Avito,1,8500,2025-01-17
Книга "Война и мир",Книги,Новосибирск,Lamoda,3,1200,2025-01-18
Кофемашина Delonghi,Бытовая техника,Казань,Яндекс.Маркет,1,25000,2025-01-19
Планшет iPad Air,Электроника,Ростов-на-Дону,Wildberries,1,55000,2025-01-20
Джинсы Levi's,Одежда и обувь,Уфа,Ozon,2,6500,2025-01-21
Учебник по Python,Книги,Волгоград,Avito,1,2500,2025-01-22
Микроволновка Samsung,Бытовая техника,Красноярск,Lamoda,1,15000,2025-01-23
Наушники AirPods,Электроника,Пермь,Яндекс.Маркет,1,18000,2025-01-24
